g1,"rgb(166, 171, 211)"
Jujuca1987,"rgb(227, 134, 152)"
CGUonline,"rgb(145, 178, 212)"
brasil_paralelo,"rgb(60, 181, 131)"
Vinheteiro,"rgb(79, 181, 149)"
depretas,"rgb(233, 130, 147)"
MInfraestrutura,"rgb(89, 180, 159)"
RevistaCrusoe,"rgb(108, 180, 176)"
PolitzOficial,"rgb(66, 181, 136)"
BancoCentralBR,"rgb(142, 178, 209)"
Ticostacruz,"rgb(198, 152, 180)"
peterjordan100,"rgb(77, 181, 147)"
DeputadoFederal,"rgb(223, 136, 156)"
GenPauloChagas,"rgb(74, 181, 144)"
TeichNelson,"rgb(97, 180, 166)"
MST_Oficial,"rgb(233, 130, 146)"
Debora_D_Diniz,"rgb(230, 132, 149)"
gazetadopovo,"rgb(119, 179, 187)"
RaquelStasiaki,"rgb(61, 181, 132)"
cartamaior,"rgb(223, 136, 156)"
samydana,"rgb(121, 179, 188)"
winniebueno,"rgb(230, 132, 149)"
bollemdb,"rgb(202, 149, 176)"
DanielaLima_,"rgb(184, 160, 194)"
alessandromolon,"rgb(215, 141, 164)"
DCM_online,"rgb(221, 137, 158)"
Clauwild1,"rgb(57, 181, 128)"
CanalHipocritas,"rgb(58, 181, 130)"
republica_ctba,"rgb(68, 181, 139)"
bndes,"rgb(151, 178, 217)"
brasildefato,"rgb(226, 134, 153)"
secomvc,"rgb(76, 181, 146)"
DouglasGarcia,"rgb(61, 181, 132)"
profpaulamarisa,"rgb(60, 181, 131)"
requiaopmdb,"rgb(215, 141, 164)"
_pinheira,"rgb(225, 135, 154)"
inep_oficial,"rgb(173, 167, 204)"
cialetras,"rgb(204, 148, 174)"
mariosabinof,"rgb(96, 180, 165)"
diguinhocoruja,"rgb(109, 180, 177)"
raullsantiago,"rgb(228, 133, 151)"
LorenzonItalo,"rgb(61, 181, 132)"
EuSouMBC,"rgb(58, 181, 129)"
BernardoMF,"rgb(205, 148, 174)"
MTurismo,"rgb(155, 178, 221)"
inst_lula,"rgb(219, 139, 160)"
blogdojosias,"rgb(159, 176, 218)"
carteiroreaca,"rgb(60, 181, 131)"
ibgecomunica,"rgb(171, 168, 206)"
blogdopannunzio,"rgb(206, 147, 172)"
robertocabrini,"rgb(123, 179, 191)"
BrunoGarschagen,"rgb(68, 181, 139)"
PSL_Nacional,"rgb(80, 181, 150)"
AdrillesRJorge,"rgb(79, 181, 149)"
linndaquebrada,"rgb(234, 130, 146)"
hmcpedro,"rgb(219, 139, 160)"
DoraKramer,"rgb(158, 176, 218)"
marcogomes,"rgb(208, 145, 170)"
geraldomiotto,"rgb(82, 181, 152)"
sandraacoutinho,"rgb(156, 177, 220)"
uneoficial,"rgb(225, 135, 154)"
dw_brasil,"rgb(197, 152, 180)"
sergiodireita1,"rgb(62, 181, 133)"
patriciapillar,"rgb(219, 139, 160)"
eduardopaes_,"rgb(174, 166, 202)"
DepEduardoCunha,"rgb(143, 178, 210)"
silvionavarro,"rgb(77, 181, 147)"
MajorVitorHugo,"rgb(71, 181, 141)"
mmeioambiente,"rgb(150, 178, 217)"
blogdojefferson,"rgb(71, 181, 142)"
nadanovonofront,"rgb(227, 134, 153)"
eduardomoreira,"rgb(219, 139, 160)"
geocaio,"rgb(236, 129, 144)"
SergioAguiar07,"rgb(148, 178, 214)"
RejanePaiva,"rgb(57, 181, 128)"
memescomuna,"rgb(229, 132, 150)"
gerdwenzel,"rgb(199, 151, 179)"
ronaldrios,"rgb(203, 149, 175)"
kribshna,"rgb(227, 134, 152)"
camilabomfim,"rgb(157, 177, 220)"
caioblinder,"rgb(149, 178, 215)"
aguedescartoon,"rgb(81, 181, 151)"
escolasempartid,"rgb(62, 181, 133)"
jornaldarecord,"rgb(129, 179, 197)"
minc_rj,"rgb(222, 137, 157)"
ultrajano,"rgb(220, 138, 159)"
thaisheredia,"rgb(151, 178, 218)"
VIOMUNDO,"rgb(226, 134, 153)"
flaviogordon,"rgb(61, 181, 132)"
emirsader,"rgb(229, 133, 151)"
laurentinogomes,"rgb(178, 164, 199)"
JamilChade,"rgb(205, 147, 173)"
diegoescosteguy,"rgb(139, 179, 206)"
pauloteixeira13,"rgb(226, 134, 153)"
